ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,False,False,True,0.15,end,く,-0.007695896,-0.007765858,
,TP3,False,False,True,0.15,begin,は,-0.00832556,0.003917911,1.225271
,TP3,False,False,True,0.15,end,は,-0.01476213,0.02427705,
interrupt
ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,False,True,True,0.15,end,い,0.01252332,0.01455224,
,TP3,False,True,True,0.15,begin,し,-0.006156716,0.01098414,16.35043
,TP3,False,True,True,0.15,end,し,-0.00727612,0.02553638,
,TP3,False,True,True,0.15,begin,B,-0.009514926,0.002518657,1.447985
,TP3,False,True,True,0.15,end,B,0.005247202,-0.008535448,
,TP3,False,True,True,0.15,begin,！,-0.003358209,0.009864739,71.63082
,TP3,False,True,True,0.15,end,！,-0.01979944,0.01007463,
,TP3,False,True,True,0.15,begin,つ,0.001888993,0.01567164,1.420052
,TP3,False,True,True,0.15,end,つ,-0.01909981,0.00909515,
,TP3,False,True,True,0.15,begin,も,-0.009584889,-0.005317165,2.046623
,TP3,False,True,True,0.15,end,も,-0.02469683,-0.003917911,
,TP3,False,True,True,0.15,begin,ー,0.01133396,-0.03316231,17.13978
,TP3,False,True,True,0.15,end,ー,0.0457556,-0.02854478,
,TP3,False,True,True,0.15,begin,あ,-0.02406717,0.01826026,2.797562
,TP3,False,True,True,0.15,end,あ,-0.0234375,0.01322295,
,TP3,False,True,True,0.15,begin,よ,-0.005946829,-0.007416045,1.276299
,TP3,False,True,True,0.15,end,よ,-0.004337687,-0.02553638,
,TP3,False,True,True,0.15,begin,は,0.0146222,-0.003777985,2.646248
,TP3,False,True,True,0.15,end,は,0.01546175,-0.004197761,
,TP3,False,True,True,0.15,begin,ま,-0.02266791,-0.01434235,1.406288
,TP3,False,True,True,0.15,end,ま,-0.02280784,-0.01525187,
,TP3,False,True,True,0.15,begin,つ,-0.02616605,-0.005876866,1.281677
,TP3,False,True,True,0.15,end,つ,-0.02056903,0.0046875,
,TP3,False,True,True,0.15,begin,み,-0.0275653,-0.01497202,1.866135
,TP3,False,True,True,0.15,end,み,-0.04813433,-0.01714086,
,TP3,False,True,True,0.15,begin,ち,-0.02392724,-0.003708023,1.239609
,TP3,False,True,True,0.15,end,ち,-0.0410681,-0.01077425,
,TP3,False,True,True,0.15,begin,け,-0.007835821,0.008815299,1.741402
,TP3,False,True,True,0.15,end,け,0.02000933,0.01035448,
,TP3,False,True,True,0.15,begin,れ,0.01000466,-0.01602146,1.740997
,TP3,False,True,True,0.15,end,れ,0.03631064,-0.01672108,
,TP3,False,True,True,0.15,begin,に,-0.003987873,-0.004127799,1.253723
,TP3,False,True,True,0.15,end,に,-0.03043377,0,
,TP3,False,True,True,0.15,begin,り,0.01084422,-0.01714086,1.281937
,TP3,False,True,True,0.15,end,り,-0.01504198,-0.01770056,
,TP3,False,True,True,0.15,begin,ぬ,-0.006576493,-0.004407649,1.141312
,TP3,False,True,True,0.15,end,ぬ,-0.003428172,0.01364272,
,TP3,False,True,True,0.15,begin,い,-0.02210821,0.01084422,1.267776
,TP3,False,True,True,0.15,end,い,-0.03351213,0.01322295,
,TP3,False,True,True,0.15,begin,変,0.01098414,-0.004267724,1.393158
,TP3,False,True,True,0.15,end,変,0.04015858,0.003987873,
,TP3,False,True,True,0.15,begin,る,0.01546175,-0.01840019,1.100296
,TP3,False,True,True,0.15,end,る,0.01700093,0.007835821,
,TP3,False,True,True,0.15,begin,ね,-0.003498134,-0.004267724,1.142212
,TP3,False,True,True,0.15,end,ね,0.01315299,-6.996269E-05,
,TP3,False,True,True,0.15,begin,ろ,0.006926306,-0.01441231,1.183075
,TP3,False,True,True,0.15,end,ろ,0.004827425,-0.02490672,
,TP3,False,True,True,0.15,begin,ふ,-0.006856344,-0.006296642,1.058624
,TP3,False,True,True,0.15,end,ふ,-0.003568097,0.002028918,
,TP3,False,True,True,0.15,begin,あ,-0.01791045,0.008395523,4.080078
,TP3,False,True,True,0.15,end,あ,-0.02000933,0.008115672,
,TP3,False,True,True,0.15,begin,ぬ,-0.003498134,-0.002028918,1.378815
,TP3,False,True,True,0.15,end,ぬ,-0.0007695896,0.01182369,
,TP3,False,True,True,0.15,begin,き,-0.001539179,0.01322295,1.127502
,TP3,False,True,True,0.15,end,き,-0.01756063,0.01301306,
,TP3,False,True,True,0.15,begin,？,0.01189366,-0.02714552,1.239197
,TP3,False,True,True,0.15,end,？,0.02133862,-0.01231343,
,TP3,False,True,True,0.15,begin,E,0.02609608,0.009305038,1.378342
,TP3,False,True,True,0.15,end,E,0.02560634,0.01000466,
,TP3,False,True,True,0.15,begin,ら,0.01777052,-0.01427239,1.837311
,TP3,False,True,True,0.15,end,ら,0.01784049,-0.01357276,
,TP3,False,True,True,0.15,begin,ち,-0.01476213,-0.002238806,1.114029
,TP3,False,True,True,0.15,end,ち,-0.0358209,-0.003288246,
,TP3,False,True,True,0.15,begin,は,0.01280317,-0.00727612,1.211319
,TP3,False,True,True,0.15,end,は,0.009934702,-0.007975747,
,TP3,False,True,True,0.15,begin,と,-0.02161847,-0.001888993,1.058044
,TP3,False,True,True,0.15,end,と,-0.01665112,-0.01266325,
,TP3,False,True,True,0.15,begin,て,-0.02574627,-0.007206157,1.225266
,TP3,False,True,True,0.15,end,て,0.002728545,-0.006716418,
,TP3,False,True,True,0.15,begin,S,0.02525653,-0.005736941,1.685455
,TP3,False,True,True,0.15,end,S,0.02420709,-0.00650653,
,TP3,False,True,True,0.15,begin,な,-0.005946829,-0.005946829,1.072464
,TP3,False,True,True,0.15,end,な,-0.006086754,-0.007346082,
,TP3,False,True,True,0.15,begin,B,0.02476679,0.01364272,2.255676
,TP3,False,True,True,0.15,end,B,0.02420709,0.01007463,
,TP3,False,True,True,0.15,begin,の,-0.00832556,0.001749067,1.016449
,TP3,False,True,True,0.15,end,の,-0.007695896,-0.01364272,
,TP3,False,True,True,0.15,begin,け,-0.007416045,0.01007463,1.434189
,TP3,False,True,True,0.15,end,け,0.0181903,0.008115672,
,TP3,False,True,True,0.15,begin,？,0.01203358,-0.02154851,1.281143
,TP3,False,True,True,0.15,end,？,0.009444963,-0.01861008,
,TP3,False,True,True,0.15,begin,て,-0.02371735,-0.0005597015,1.197311
,TP3,False,True,True,0.15,end,て,0.004827425,0.0004897388,
,TP3,False,True,True,0.15,begin,ー,-0.01077425,-0.02371735,1.643341
,TP3,False,True,True,0.15,end,ー,0.0211987,-0.02609608,
,TP3,False,True,True,0.15,begin,こ,-0.003218284,0.01679105,1.504028
,TP3,False,True,True,0.15,end,こ,-0.006156716,-0.003917911,
,TP3,False,True,True,0.15,begin,ま,-0.02770522,-0.01231343,1.141129
,TP3,False,True,True,0.15,end,ま,-0.02063899,-0.008955224,
,TP3,False,True,True,0.15,begin,た,-0.02658582,-0.002028918,1.239319
,TP3,False,True,True,0.15,end,た,-0.02245802,-0.003428172,
,TP3,False,True,True,0.15,begin,な,-0.00650653,-0.0046875,0.9885101
,TP3,False,True,True,0.15,end,な,-0.007486008,-0.003218284,
,TP3,False,True,True,0.15,begin,、,0.008255597,-0.02784515,0.9470978
,TP3,False,True,True,0.15,end,、,0.004057836,-0.02658582,
,TP3,False,True,True,0.15,begin,、,0.007975747,-0.02637593,2.29747
,TP3,False,True,True,0.15,end,、,0.01392257,-0.02427705,
,TP3,False,True,True,0.15,begin,。,0.01063433,-0.02665578,1.225464
,TP3,False,True,True,0.15,end,。,-0.007765858,-0.02427705,
,TP3,False,True,True,0.15,begin,へ,0.008395523,-0.003568097,2.43663
,TP3,False,True,True,0.15,end,へ,0.03239273,-0.001469216,
,TP3,False,True,True,0.15,begin,す,0.01539179,0.01035448,1.294479
,TP3,False,True,True,0.15,end,す,0.02280784,0.02147854,
,TP3,False,True,True,0.15,begin,れ,0.009235075,-0.01588153,1.754578
,TP3,False,True,True,0.15,end,れ,0.03498134,-0.00860541,
,TP3,False,True,True,0.15,begin,さ,0.01448228,0.009375,1.225311
,TP3,False,True,True,0.15,end,さ,0.01322295,0.008675373,
,TP3,False,True,True,0.15,begin,と,-0.02259795,0,1.071747
,TP3,False,True,True,0.15,end,と,-0.01868004,-0.01623134,
,TP3,False,True,True,0.15,begin,む,-0.02000933,-0.01756063,1.434799
,TP3,False,True,True,0.15,end,む,-0.01266325,0.00832556,
,TP3,False,True,True,0.15,begin,め,-0.02378731,-0.01434235,1.351135
,TP3,False,True,True,0.15,end,め,0.01812034,-0.007835821,
,TP3,False,True,True,0.15,begin,き,0.005177239,0.01084422,1.141296
,TP3,False,True,True,0.15,end,き,-0.02049907,0.01007463,
,TP3,False,True,True,0.15,begin,を,0.002238806,-0.03561101,1.253006
,TP3,False,True,True,0.15,end,を,0.008185634,0.005317165,
,TP3,False,True,True,0.15,begin,く,-0.00909515,0.01245336,2.256073
,TP3,False,True,True,0.15,end,く,0.003917911,0.02245802,
,TP3,False,True,True,0.15,begin,E,0.02434702,-0.01154384,2.463394
,TP3,False,True,True,0.15,end,E,0.02665578,-0.01091418,
interrupt
ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,False,True,True,0.15,end,あ,0.004337687,-0.001399254,
,TP3,False,True,True,0.15,begin,る,0.008955224,-0.01875,1.113207
,TP3,False,True,True,0.15,end,る,0.0135028,0.004477612,
,TP3,False,True,True,0.15,begin,う,-0.01881996,0.01028452,1.267488
,TP3,False,True,True,0.15,end,う,-0.0123834,0.02126866,
,TP3,False,True,True,0.15,begin,ん,-0.001749067,-0.0270056,1.575769
,TP3,False,True,True,0.15,end,ん,0.0001399254,-0.004757463,
,TP3,False,True,True,0.15,begin,て,-0.02441698,-0.00363806,1.414839
,TP3,False,True,True,0.15,end,て,0.01742071,-0.00181903,
,TP3,False,True,True,0.15,begin,め,-0.0245569,-0.01909981,1.225403
,TP3,False,True,True,0.15,end,め,0.009724814,-0.01756063,
,TP3,False,True,True,0.15,begin,な,-0.00286847,-0.004477612,1.086285
,TP3,False,True,True,0.15,end,な,-0.0001399254,-0.00650653,
,TP3,False,True,True,0.15,begin,お,-0.02147854,0.008255597,1.058558
,TP3,False,True,True,0.15,end,お,-0.01588153,-0.01231343,
,TP3,False,True,True,0.15,begin,し,0.02602612,0.008885262,1.141983
,TP3,False,True,True,0.15,end,し,-0.00650653,0.000909515,
,TP3,False,True,True,0.15,begin,は,0.01847015,-0.004827425,1.211941
,TP3,False,True,True,0.15,end,は,0.01693097,-0.005317165,
,TP3,False,True,True,0.15,begin,い,-0.01224347,0.008465486,0.9193153
,TP3,False,True,True,0.15,end,い,-0.03407183,0.007625933,
,TP3,False,True,True,0.15,begin,こ,-0.0005597015,0.01483209,1.281136
,TP3,False,True,True,0.15,end,こ,0,-0.01315299,
,TP3,False,True,True,0.15,begin,け,-0.005666978,0.009584889,1.198284
,TP3,False,True,True,0.15,end,け,0.01322295,-0.01861008,
,TP3,False,True,True,0.15,begin,く,-0.0004197761,0.01798041,1.685921
,TP3,False,True,True,0.15,end,く,0.008745336,0.02994403,
,TP3,False,True,True,0.15,begin,に,0.002238806,0.002238806,1.295296
,TP3,False,True,True,0.15,end,に,-0.01770056,0.006996269,
,TP3,False,True,True,0.15,begin,ち,-0.01784049,0.004967351,1.309002
,TP3,False,True,True,0.15,end,ち,-0.0322528,0.005736941,
,TP3,False,True,True,0.15,begin,？,0.01007463,-0.028125,1.713848
,TP3,False,True,True,0.15,end,？,0.01497202,-0.004057836,
,TP3,False,True,True,0.15,begin,そ,0.01217351,0.01014459,1.21138
,TP3,False,True,True,0.15,end,そ,0.00909515,-0.01413246,
,TP3,False,True,True,0.15,begin,や,-0.006926306,-0.01525187,1.169628
,TP3,False,True,True,0.15,end,や,-0.003148321,-0.01546175,
,TP3,False,True,True,0.15,begin,を,0.0006296642,-0.02903452,1.072124
,TP3,False,True,True,0.15,end,を,-0.01923974,-0.02308769,
,TP3,False,True,True,0.15,begin,み,-0.005177239,-0.004477612,1.114349
,TP3,False,True,True,0.15,end,み,-0.03372202,-0.007416045,
,TP3,False,True,True,0.15,begin,！,0.01672108,-0.02553638,1.741474
,TP3,False,True,True,0.15,end,！,0.0001399254,-0.02315765,
interrupt
